steps,distance,trackerDistance,loggedActivitiesDistance,veryActiveDistance,moderatelyActiveDistance,lightActiveDistance,sedentaryActiveDistance,veryActiveMinutes,fairlyActiveMinutes,lightlyActiveMinutes,sedentaryMinutes,calories
10946.0,7.349999905,7.349999905,3.4165962489,0.540000021,2.089999914,4.71999979,0.01,8.0,51.0,308.0,569.0,2341.0
18464.0,12.0,12.0,3.4165962489,1.514999986,0.670000017,12.0,0.01,26.0,25.9695652174,270.0,1170.0,1574.0
11107.0,7.340000153,7.340000153,3.4165962489,0.899999976,2.75999999,3.680000067,0.01,14.0,46.0,196.0,759.0,2058.0
11166.0,8.119999886,8.119999886,3.4165962489,0.209999993,2.410000086,5.5,0.01,3.0,58.0,230.0,1149.0,3202.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,2060.0
17395.0,13.21000004,13.21000004,3.4165962489,9.670000076,0.180000007,3.349999905,0.01,100.0,4.0,213.0,1123.0,3209.0
1985.0,1.289999962,1.289999962,3.4165962489,1.514999986,0.670000017,1.279999971,0.01,26.0,25.9695652174,112.0,1328.0,1350.0
10467.0,6.980000019,6.980000019,3.4165962489,0.699999988,2.430000067,3.849999905,0.01,9.0,45.0,252.0,602.0,2014.0
1515.0,0.99000001,0.99000001,3.4165962489,1.514999986,0.670000017,0.99000001,0.01,26.0,25.9695652174,93.0,507.0,1481.0
1229.0,0.75999999,0.75999999,3.4165962489,1.514999986,0.670000017,0.75999999,0.01,26.0,25.9695652174,69.0,795.0,1237.0
4126.0,3.220000029,4.960000038,3.218688011,1.514999986,0.670000017,3.220000029,0.01,26.0,25.9695652174,720.0,720.0,2881.0
7225.0,5.179999828,5.179999828,3.4165962489,1.730000019,1.269999981,2.180000067,0.01,25.0,50.0,163.0,1189.0,3065.0
1577.0,1.129999995,1.129999995,3.4165962489,0.07,0.889999986,0.170000002,0.01,1.0,17.0,8.0,1414.0,1977.0
2660.0,1.940000057,1.940000057,3.4165962489,1.514999986,0.670000017,1.940000057,0.01,26.0,25.9695652174,46.0,1394.0,1978.0
9548.0,7.21999979,7.21999979,3.4165962489,2.019999981,3.680000067,1.519999981,0.01,25.0,107.0,113.0,1195.0,3119.0
4662.0,3.180000067,3.180000067,3.4165962489,1.039999962,0.150000006,1.99000001,0.01,22.0,4.0,152.0,735.0,1276.0
290.0,0.209999993,0.209999993,3.4165962489,1.514999986,0.670000017,0.209999993,0.01,26.0,25.9695652174,16.0,599.0,791.0
890.0,0.600000024,0.600000024,3.4165962489,1.514999986,0.670000017,0.600000024,0.01,26.0,25.9695652174,41.0,1399.0,1335.0
12168.0,8.140000343,8.140000343,3.4165962489,1.049999952,0.790000021,6.289999962,0.01,18.0,27.0,375.0,1020.0,2871.0
5477.0,3.839999914,3.839999914,3.4165962489,1.514999986,0.670000017,3.839999914,0.01,26.0,25.9695652174,237.0,1203.0,2040.0
3108.0,2.140000105,2.140000105,3.4165962489,0.07,0.039999999,1.960000038,0.01,1.0,1.0,129.0,894.0,1223.0
2816.0,2.200000048,2.200000048,3.4165962489,1.514999986,0.670000017,2.200000048,0.01,26.0,25.9695652174,138.0,1302.0,2437.0
4863.0,3.279999971,3.279999971,3.4165962489,0.059999999,0.419999987,2.799999952,0.01,1.0,11.0,208.0,1220.0,1772.0
4239.0,2.839999914,2.839999914,3.4165962489,0.059999999,0.239999995,2.529999971,0.01,1.0,6.0,235.0,702.0,2217.0
3436.0,2.24000001,2.24000001,3.4165962489,0.5,0.670000017,1.049999952,0.01,7.0,11.0,50.0,61.0,633.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,
6625.0,4.449999809,4.449999809,3.4165962489,1.514999986,0.670000017,4.449999809,0.01,26.0,25.9695652174,316.0,755.0,2424.0
15425.0,10.31999969,10.31999969,3.4165962489,1.620000005,1.820000052,6.869999886,0.01,24.0,45.0,331.0,614.0,1783.0
8433.0,6.230000019,6.230000019,3.4165962489,2.450000048,0.330000013,3.440000057,0.01,30.0,7.0,135.0,1268.0,2453.0
5551.0,3.789999962,3.789999962,3.4165962489,1.514999986,0.670000017,3.769999981,0.01,26.0,25.9695652174,282.0,1158.0,1815.0
2308.0,1.429999948,1.429999948,3.4165962489,1.514999986,0.670000017,1.429999948,0.01,26.0,25.9695652174,115.0,720.0,1330.0
8955.0,6.760000229,6.760000229,3.4165962489,1.514999986,0.670000017,6.730000019,0.01,26.0,25.9695652174,422.0,1018.0,2482.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1878.0
10990.0,7.260000229,7.260000229,3.4165962489,2.039999962,0.569999993,4.650000095,0.01,26.0,14.0,216.0,855.0,1811.0
6717.0,4.71999979,4.71999979,3.4165962489,3.230000019,0.219999999,1.269999981,0.01,41.0,5.0,67.0,551.0,1140.0
6679.0,4.139999866,4.139999866,3.4165962489,1.514999986,0.670000017,4.139999866,0.01,26.0,25.9695652174,263.0,644.0,1583.0
20.0,0.01,0.01,3.4165962489,1.514999986,0.670000017,0.01,0.01,26.0,25.9695652174,6.0,598.0,728.0
5406.0,3.630000114,3.630000114,3.4165962489,1.514999986,0.670000017,3.609999895,0.01,26.0,25.9695652174,273.0,672.0,2317.0
2631.0,2.089999914,2.089999914,3.4165962489,1.514999986,0.670000017,2.089999914,0.01,26.0,25.9695652174,117.0,727.0,2624.0
2422.0,1.629999995,1.629999995,3.4165962489,1.514999986,0.670000017,1.629999995,0.01,26.0,25.9695652174,110.0,1330.0,1935.0
1650.0,1.210000038,1.210000038,3.4165962489,1.514999986,0.670000017,1.210000038,0.01,26.0,25.9695652174,60.0,1380.0,1952.0
2174.0,1.700000048,1.700000048,3.4165962489,1.514999986,0.670000017,1.700000048,0.01,26.0,25.9695652174,112.0,1328.0,2360.0
2063.0,1.610000014,4.960000038,1.609344006,1.514999986,0.670000017,1.610000014,0.01,26.0,25.9695652174,630.0,99.0,1144.0
15491.0,10.23999977,10.23999977,3.4165962489,1.289999962,4.489999771,4.460000038,0.01,18.0,77.0,272.0,641.0,2244.0
5142.0,3.190000057,3.190000057,3.4165962489,1.514999986,0.670000017,3.190000057,0.01,26.0,25.9695652174,230.0,654.0,1515.0
11135.0,9.029999733,9.029999733,3.4165962489,0.079999998,1.159999967,7.789999962,0.01,1.0,25.0,331.0,528.0,3224.0
11680.0,9.06000042,7.809999943,4.901282787,4.489999771,0.330000013,4.239999771,0.01,50.0,7.0,244.0,1139.0,2573.0
4599.0,3.0,3.0,3.4165962489,1.514999986,0.670000017,3.0,0.01,26.0,25.9695652174,176.0,578.0,1692.0
11306.0,7.380000114,7.380000114,3.4165962489,2.309999943,0.980000019,4.090000153,0.01,40.0,26.0,218.0,772.0,2086.0
10016.0,6.369999886,6.369999886,3.4165962489,0.910000026,1.279999971,4.179999828,0.01,15.0,30.0,314.0,655.0,1850.0
11080.0,8.300000191,8.300000191,3.4165962489,3.130000114,1.370000005,3.809999943,0.01,83.0,52.0,190.0,695.0,3765.0
12483.0,8.989999771,8.989999771,3.4165962489,1.450000048,0.569999993,6.900000095,0.01,25.0,14.0,309.0,599.0,3830.0
10254.0,6.800000191,6.800000191,3.4165962489,1.419999957,1.230000019,4.159999847,0.01,21.0,25.0,231.0,638.0,2099.0
9917.0,7.409999847,7.409999847,3.4165962489,1.99000001,0.970000029,4.440000057,0.01,58.0,27.0,240.0,700.0,3427.0
1846.0,1.24000001,1.24000001,3.4165962489,1.514999986,0.670000017,1.24000001,0.01,26.0,25.9695652174,93.0,1347.0,1508.0
2214.0,1.49000001,1.49000001,3.4165962489,1.514999986,0.670000017,1.49000001,0.01,26.0,25.9695652174,197.0,1243.0,1559.0
17078.0,13.19999981,13.19999981,3.4165962489,9.970000267,0.239999995,2.99000001,0.01,101.0,6.0,190.0,1143.0,3176.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1776.0
9124.0,7.239999771,7.239999771,2.092147112,1.514999986,0.25,6.989999771,0.01,55.0,6.0,230.0,728.0,3798.0
2139.0,1.559999943,1.559999943,3.4165962489,1.514999986,1.299999952,0.25999999,0.01,26.0,28.0,15.0,1397.0,1935.0
10494.0,7.840000153,7.840000153,3.4165962489,4.909999847,0.779999971,2.150000095,0.01,123.0,62.0,138.0,601.0,3817.0
6911.0,4.78000021,4.78000021,3.4165962489,2.319999933,0.100000001,2.359999895,0.01,28.0,2.0,215.0,745.0,2374.0
9348.0,6.699999809,6.699999809,3.4165962489,1.129999995,2.039999962,3.140000105,0.01,56.0,133.0,240.0,1011.0,4286.0
1988.0,1.429999948,1.429999948,3.4165962489,1.514999986,0.670000017,1.429999948,0.01,26.0,25.9695652174,79.0,909.0,2207.0
6309.0,4.519999981,4.519999981,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,3140.0
6499.0,5.269999981,5.269999981,3.4165962489,1.514999986,0.670000017,5.269999981,0.01,26.0,25.9695652174,207.0,809.0,2677.0
14583.0,9.760000229,9.760000229,3.4165962489,2.480000019,1.74000001,5.53000021,0.01,35.0,36.0,254.0,697.0,1697.0
12437.0,8.300000191,8.300000191,3.4165962489,3.75999999,1.289999962,3.24000001,0.01,50.0,24.0,219.0,732.0,2115.0
3434.0,2.50999999,2.50999999,3.4165962489,0.07,0.300000012,2.140000105,0.01,1.0,7.0,108.0,1324.0,2101.0
3198.0,2.210000038,2.210000038,3.4165962489,1.514999986,0.670000017,2.210000038,0.01,26.0,25.9695652174,146.0,1183.0,2449.0
6895.5,4.964999914,4.960000038,4.828032017,1.514999986,0.670000017,3.448616188,0.01,26.0,660.0,201.8753246753,780.0,4562.0
12252.0,8.0,8.0,3.4165962489,2.410000086,1.700000048,3.890000105,0.01,33.0,28.0,229.0,745.0,2044.0
7485.0,4.949999809,4.949999809,3.4165962489,1.514999986,0.670000017,4.949999809,0.01,26.0,25.9695652174,324.0,491.0,2035.0
3762.0,2.329999924,2.329999924,3.4165962489,1.514999986,0.670000017,2.329999924,0.01,26.0,25.9695652174,173.0,719.0,1425.0
13023.0,9.260000229,9.260000229,3.4165962489,3.230000019,0.560000002,5.46999979,0.01,40.0,12.0,296.0,1092.0,2577.0
2350.0,1.779999971,1.779999971,3.4165962489,1.514999986,0.670000017,1.779999971,0.01,26.0,25.9695652174,58.0,531.0,938.0
18247.0,13.82999992,13.82999992,3.4165962489,7.110000134,2.210000038,4.510000229,0.01,72.0,62.0,252.0,1054.0,3021.0
2862.0,2.140000105,2.140000105,3.4165962489,1.039999962,0.25,0.839999974,0.01,39.0,17.0,54.0,209.0,1511.0
7238.0,4.630000114,4.630000114,3.4165962489,0.109999999,0.230000004,4.289999962,0.01,2.0,6.0,279.0,636.0,2667.0
13603.0,9.600000381,9.600000381,3.4165962489,5.460000038,0.629999995,3.50999999,0.01,72.0,16.0,213.0,1139.0,2645.0
6799.0,4.489999771,4.489999771,3.4165962489,1.590000033,0.860000014,2.039999962,0.01,24.0,14.0,185.0,1217.0,1876.0
10976.0,7.340000153,7.340000153,3.4165962489,0.550000012,0.670000017,6.130000114,0.01,9.0,16.0,271.0,1075.0,2575.0
4853.0,3.660000086,3.660000086,3.4165962489,1.514999986,0.670000017,3.660000086,0.01,26.0,25.9695652174,156.0,770.0,1903.0
10910.0,8.420000076,8.420000076,3.4165962489,2.960000038,0.389999986,5.03000021,0.01,32.0,11.0,212.0,1185.0,2947.0
4931.0,3.319999933,3.319999933,3.4165962489,1.514999986,0.670000017,3.319999933,0.01,26.0,25.9695652174,175.0,1265.0,1708.0
3180.0,1.970000029,1.970000029,3.4165962489,1.514999986,0.670000017,1.970000029,0.01,26.0,25.9695652174,185.0,738.0,1421.0
10789.0,8.149999619,8.149999619,3.4165962489,1.514999986,0.670000017,8.149999619,0.01,26.0,25.9695652174,506.0,413.0,2617.0
6344.0,4.119999886,4.119999886,3.4165962489,1.514999986,0.670000017,4.099999905,0.01,26.0,25.9695652174,143.0,1297.0,1409.0
14179.0,11.23999977,11.23999977,3.4165962489,6.230000019,1.059999943,3.960000038,0.01,73.0,21.0,195.0,719.0,3669.0
5645.0,3.5,3.5,3.4165962489,1.514999986,0.670000017,3.5,0.01,26.0,25.9695652174,248.0,621.0,1538.0
15459.0,10.22000027,10.22000027,3.4165962489,3.589999914,0.810000002,5.820000172,0.01,51.0,16.0,327.0,583.0,2438.0
5129.0,3.680000067,3.680000067,3.4165962489,0.180000007,0.239999995,3.210000038,0.01,5.0,7.0,176.0,1178.0,2817.0
2303.0,1.549999952,1.549999952,3.4165962489,1.514999986,0.670000017,1.549999952,0.01,26.0,25.9695652174,155.0,807.0,2010.0
10330.0,7.409999847,7.409999847,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,3728.0
2605.0,1.620000005,1.620000005,3.4165962489,1.514999986,0.670000017,1.620000005,0.01,26.0,25.9695652174,166.0,729.0,1407.0
5400.0,3.869999886,3.869999886,3.4165962489,1.514999986,0.670000017,3.849999905,0.01,26.0,25.9695652174,258.0,795.0,3418.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,20.0,25.9695652174,201.8753246753,494.0,735.0
16064.0,12.72000027,12.72000027,3.4165962489,9.979999542,0.360000014,2.380000114,0.01,96.0,8.0,155.0,1181.0,3097.0
2277.0,1.529999971,1.529999971,3.4165962489,1.514999986,0.670000017,1.529999971,0.01,26.0,25.9695652174,103.0,1337.0,1530.0
7478.0,4.989999771,4.989999771,3.4165962489,1.799999952,0.529999971,2.609999895,0.029999999,25.0,33.0,132.0,1159.0,2439.0
5785.0,3.950000048,3.950000048,3.4165962489,1.514999986,0.670000017,3.910000086,0.039999999,26.0,25.9695652174,311.0,1129.0,1852.0
8921.0,5.880000114,5.880000114,3.4165962489,2.069999933,0.439999998,3.359999895,0.01,27.0,8.0,198.0,754.0,1892.0
6895.5,4.964999914,4.960000038,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,1920.0
14002.0,11.35999966,11.35999966,3.4165962489,0.610000014,2.680000067,8.06000042,0.01,8.0,56.0,381.0,407.0,3597.0
1022.0,0.649999976,0.649999976,3.4165962489,1.514999986,0.670000017,0.649999976,0.01,26.0,25.9695652174,63.0,739.0,1890.0
5702.0,4.090000153,4.090000153,3.4165962489,1.514999986,0.670000017,3.448616188,0.01,26.0,25.9695652174,201.8753246753,1440.0,2980.0
12495.0,8.260000229,8.260000229,3.4165962489,2.210000038,1.090000033,4.960000038,0.01,33.0,19.0,324.0,609.0,2231.0
3226.0,2.309999943,2.309999943,3.4165962489,1.514999986,0.670000017,2.279999971,0.01,26.0,25.9695652174,136.0,771.0,2480.0
12026.0,9.149999619,9.149999619,3.4165962489,5.699999809,0.930000007,2.50999999,0.01,47.0,13.0,150.0,1230.0,2162.0
12736.0,8.529999733,8.529999733,3.4165962489,4.659999847,0.159999996,3.710000038,0.01,56.0,5.0,268.0,605.0,1944.0
4499.0,3.359999895,3.359999895,3.4165962489,0.889999986,0.25999999,2.210000038,0.01,31.0,11.0,146.0,756.0,2775.0
